Link_produk,Kilometer,Lokasi_mobil,tahun_jenis_mobil,Harga_mobil,Merek_mobil,Rating,jenis_mobil,platform
https://www.mobil123.com/dijual/suzuki-caribian-dki-jakarta-kebayoran-lama/16024064,13000 KM,DKI Jakarta,"2004 Suzuki Caribian 1.3 Pick-up - 1,3 4x4",225000000.0,Suzuki Caribian,4.8,manual,mobil123.com
https://www.mobil123.com/dijual/daihatsu-xenia-r-jawa-barat-bandung/14764383,56000 KM,Jawa Barat,"2017 Daihatsu Xenia 1.3 R MPV - 1,3 MT Unit Muluuuus Siap ...",140000000.0,Daihatsu Xenia,4.3,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-avanza-veloz-jawa-barat-bandung/15006441,140000 KM,Jawa Barat,"2013 Toyota Avanza 1.5 Veloz MPV - New 1,5 MT",130000000.0,Toyota Avanza,4.5,manual,mobil123.com
https://www.mobil123.com/dijual/nissan-grand-livina-xv-jawa-timur-surabaya/16023837,125 - 130K KM,Jawa Timur,2013 Nissan Grand Livina 1.5 XV MPV,105000000.0,Nissan Grand Livina,4.5,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-fortuner-g-banten-gading-serpong/16023810,110000 KM,Banten,"2015 Toyota Fortuner 2.5 G SUV - ( TDP 25jt ) 2,5 MT Hitam...",265000000.0,Toyota Fortuner,4.8,manual,mobil123.com
https://www.mobil123.com/dijual/suzuki-carry-fd-acps-jawa-tengah-semarang/15557599,15 - 20K KM,Jawa Tengah,2023 Suzuki Carry 1.5 FD ACPS Pick-up,123000000.0,Suzuki Carry,3.0,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-avanza-g-jawa-tengah-semarang/15860258,100 - 105K KM,Jawa Tengah,2005 Toyota Avanza 1.3 G MPV,80000000.0,Toyota Avanza,4.5,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-rush-trd-sportivo-jawa-tengah-semarang/15833964,100 - 105K KM,Jawa Tengah,2018 Toyota Rush 1.5 TRD Sportivo SUV,,Toyota Rush,4.5,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-kijang-innova-v-jawa-tengah-semarang/15557570,45 - 50K KM,Jawa Tengah,2010 Toyota Kijang Innova 2.0 V MPV,145000000.0,Toyota Kijang Innova,4.7,manual,mobil123.com
https://www.mobil123.com/dijual/daihatsu-ayla-r-jawa-barat-bekasi/15815980,50 - 55K KM,Jawa Barat,2019 Daihatsu Ayla 1.2 R Hatchback - NewYearPromo DP3juta ...,113000000.0,Daihatsu Ayla,4.6,manual,mobil123.com
https://www.mobil123.com/dijual/daihatsu-ayla-r-jawa-barat-bekasi/15811785,35 - 40K KM,Jawa Barat,2018 Daihatsu Ayla 1.2 R Hatchback - DPmulai5jutaan,99000000.0,Daihatsu Ayla,4.6,manual,mobil123.com
https://www.mobil123.com/dijual/wuling-confero-s-l-lux-plus-dki-jakarta-kemayoran/16016425,20 - 25K KM,DKI Jakarta,2021 Wuling Confero 1.5 S L Lux+ Wagon - S L Lux,110000000.0,Wuling Confero,5.0,manual,mobil123.com
https://www.mobil123.com/dijual/daihatsu-sigra-r-dki-jakarta-angke/16016486,30 - 35K KM,DKI Jakarta,2023 Daihatsu Sigra 1.2 R MPV,135000000.0,Daihatsu Sigra,4.6,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-rush-trd-sportivo-dki-jakarta-cakung/16023388,110000 KM,DKI Jakarta,2015 Toyota Rush 1.5 TRD Sportivo SUV - M T ( Manual ) Put...,140000000.0,Toyota Rush,4.5,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-avanza-e-jawa-barat-tanah-sareal/13534717,75 - 80K KM,Jawa Barat,2017 Toyota Avanza 1.3 E MPV,130000000.0,Toyota Avanza,4.5,manual,mobil123.com
https://www.mobil123.com/dijual/daihatsu-xenia-r-ads-jawa-timur-surabaya/15818158,25 - 30K KM,Jawa Timur,2022 Daihatsu Xenia 1.3 R ADS MPV,195000000.0,Daihatsu Xenia,4.3,manual,mobil123.com
https://www.mobil123.com/dijual/isuzu-panther-ls-jawa-timur-surabaya/15846936,75 - 80K KM,Jawa Timur,2017 Isuzu Panther 2.5 LS SUV,215000000.0,Isuzu Panther,4.8,manual,mobil123.com
https://www.mobil123.com/dijual/wuling-confero-s-l-lux-plus-dki-jakarta-kelapa-gading/16022392,25 - 30K KM,DKI Jakarta,2021 Wuling Confero 1.5 S L Lux+ Wagon - S L Lux,110000000.0,Wuling Confero,5.0,manual,mobil123.com
https://www.mobil123.com/dijual/daihatsu-sigra-r-dki-jakarta-kelapa-gading/16022496,30 - 35K KM,DKI Jakarta,2023 Daihatsu Sigra 1.2 R MPV,130000000.0,Daihatsu Sigra,4.6,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-avanza-e-jawa-barat-bogor/15698682,85 - 90K KM,Jawa Barat,2016 Toyota Avanza 1.3 E MPV,130000000.0,Toyota Avanza,4.5,manual,mobil123.com
https://www.mobil123.com/dijual/toyota-hilux-e-dual-cab-banten-bsd-city/15776377,95 - 100K KM,Banten,2019 Toyota Hilux 2.4 E Dual Cab Pick-up,300000000.0,Toyota Hilux,4.7,manual,mobil123.com
