Link_Produk,Harga,tahun_KM_Mobil,Nama_Produk,Lokasi_Produk,jenis_mobil,Platform
https://www.olx.co.id/item/pajak-panjang-daihatsu-sigra-12-r-bensin-mt-2017-silver-fzf-iid-929293655,102000000,2017 - 40.000-45.000 km,Daihatsu Sigra,Medan Satria,manual,olx
https://www.olx.co.id/item/pajak-panjang-daihatsu-xenia-15-r-deluxe-bensin-mt-2021-srx-iid-929293752,186000000,2021 - 0-5.000 km,Daihatsu Xenia,Medan Satria,manual,olx
https://www.olx.co.id/item/pajak-panjang-wuling-cortez-15-c-bensin-mt-2019-putih-jyb-iid-929328035,178000000,2019 - 45.000-50.000 km,Wuling Cortez,Medan Satria,manual,olx
https://www.olx.co.id/item/pajak-panjang-honda-brio-satya-12-e-bensin-mt-2015-merah-7eq-iid-929366083,96000000,2015 - 70.000-75.000 km,Honda Brio Satya,Mampang Prapatan,manual,olx
https://www.olx.co.id/item/mitsubishi-eterna-dohc-1992-low-km-iid-929673070,129000000,1992 - 55.000-60.000 km,Mitsubishi Eterna,Pesanggrahan,manual,olx
https://www.olx.co.id/item/mobil-baru-promo-xl-7-zeta-dp-10-iid-929047054,227200000,2024 - 0-5.000 km,Suzuki XL7,Pesanggrahan,manual,olx
https://www.olx.co.id/item/gran-max-blindvan-2019granmac-blinvan-2019-iid-926770575,85000000,2019 - 85.000-90.000 km,Daihatsu Gran max,Kebayoran Lama,manual,olx
https://www.olx.co.id/item/honda-genio-sr4-1992-manual-iid-923284793,53000000,1992 - 250.000-255.000 km,Honda Genio,Pesanggrahan,manual,olx
https://www.olx.co.id/item/suzuki-jimny-caribian-4x4-thn-2005-iid-929693222,225000000,2005 - 10.000-15.000 km,Suzuki Jimny,Kebayoran Lama,manual,olx
https://www.olx.co.id/item/dp-5-juta-honda-brv-e-2023-manual-hitam-aojg-iid-929693148,198000000,2023 - 20.000-25.000 km,Honda BR-V,Kebayoran Baru,manual,olx
https://www.olx.co.id/item/nissan-march-12-manual-2018-fulloriginal-sepertibaru-gressss-istimewa-iid-918954272,98000000,2018 - 25.000-30.000 km,Nissan March,Cilandak,manual,olx
https://www.olx.co.id/item/daihatsu-gran-max-15-d-48rbkm-2018-power-sterring-fulloriginal-gresss-iid-915772828,108000000,2018 - 35.000-40.000 km,Daihatsu Gran Max MB,Cilandak,manual,olx
https://www.olx.co.id/item/mitsubishi-l300-box-alumuniun-diesel-2017-fulloriginal-super-istimewa-iid-913513607,122000000,2017 - 65.000-70.000 km,Mitsubishi L300,Cilandak,manual,olx
https://www.olx.co.id/item/jual-tt-bt-minat-silahkan-ajukan-iid-929690065,25000000,2004 - 95.000-100.000 km,Hyundai Excel,Kebayoran Baru,manual,olx
https://www.olx.co.id/item/toyota-kijang-2000-bensin-iid-929684125,87000000,2000 - 115.000-120.000 km,Toyota Kijang,Cilandak,manual,olx
https://www.olx.co.id/item/honda-civic-type-r-2019-iid-929681829,831000000,2019 - 10.000-15.000 km,Honda Civic Type R,Cilandak,manual,olx
https://www.olx.co.id/item/calya-g-manual-mt-2022-cash-iid-929681422,123000000,2022 - 95.000-100.000 km,Toyota Calya,Pesanggrahan,manual,olx
https://www.olx.co.id/item/toyota-agya-g-mt-th-2015-istana-jaya-motor-iid-929681330,83000000,2015 - 85.000-90.000 km,Toyota Agya,Kebayoran Baru,manual,olx
https://www.olx.co.id/item/grand-cherokee-2012-black-on-brown-super-deal-iid-929679442,400000000,2012 - 85.000-90.000 km,Jeep Grand Cherokee,Jakarta Selatan,manual,olx
https://www.olx.co.id/item/pajak-panjang-wuling-confero-s-15-l-bensin-mt-2019-hitam-ukx-iid-929328574,87400000,2019 - 70.000-75.000 km,Wuling Confero S,Medan Satria,manual,olx
https://www.olx.co.id/item/pajak-panjang-suzuki-ertiga-14-ga-bensin-mt-2017-putih-sza-iid-929391624,123000000,2017 - 90.000-95.000 km,Suzuki Ertiga,Medan Satria,manual,olx
https://www.olx.co.id/item/pajak-panjang-toyota-raize-12-g-bensin-mt-2023-hitam-1hy-iid-929391159,201000000,2023 - 10.000-15.000 km,Toyota Raize,Kelapa Gading,manual,olx
https://www.olx.co.id/item/pajak-panjang-hyundai-i20-14-gl-bensin-mt-2016-putih-kiw-iid-929391718,123000000,2016 - 110.000-115.000 km,Hyundai i20,Cibubur,manual,olx
https://www.olx.co.id/item/pajak-panjang-honda-mobilio-15-s-bensin-mt-2021-putih-czs-iid-929396250,124450000,2021 - 20.000-25.000 km,Honda Mobilio,Medan Satria,manual,olx
https://www.olx.co.id/item/dp10-km6000-gr-yaris-mt-2021-2022-mdl-gr86-brz-2023-autohigh-iid-928309692,850000000,2021 - 0-5.000 km,Toyota Yaris,Kebayoran Baru,manual,olx
https://www.olx.co.id/item/daihatsu-xenia-li-deluxe-2005-mulus-sekali-lihat-pasti-naksir-iid-926312444,52000000,2005 - 105.000-110.000 km,Daihatsu Xenia,Cilandak,manual,olx
https://www.olx.co.id/item/mobil-baru-carry-pick-up-diskon-41jt-iid-923385419,129000000,2024 - 0-5.000 km,Suzuki Carry Pick-up,Pasar Minggu,manual,olx
https://www.olx.co.id/item/dp30-km50-fairlady-z-2022-2024-like-cayman-boxster-autohigh-iid-879851119,2150000000,2022 - 0-5.000 km,Nissan Fairlady,Kebayoran Baru,manual,olx
https://www.olx.co.id/item/tdp-0-angs-termurah-all-new-avanza-g-2023-manual-low-km-seperti-baru-iid-929679310,200000000,2023 - 15.000-20.000 km,Toyota Avanza,Cilandak,manual,olx
https://www.olx.co.id/item/kia-picanto-2005-manual-istimewa-iid-928978594,47500000,2005 - 85.000-90.000 km,Kia Picanto,Pasar Minggu,manual,olx
https://www.olx.co.id/item/tdp-5-avanza-g-mt-2023-iid-929677407,210000000,2023 - 15.000-20.000 km,Toyota Avanza,Cilandak,manual,olx
https://www.olx.co.id/item/rush-hitam-2015-iid-925666666,145000000,2015 - 140.000-145.000 km,Toyota Rush,Kebayoran Baru,manual,olx
https://www.olx.co.id/item/honda-jazz-s-mt-2019-antik-11-ribu-km--iid-929676219,195000000,2019 - 10.000-15.000 km,Honda Jazz,Mampang Prapatan,manual,olx
https://www.olx.co.id/item/losbak-hino-dutro-136-hdl-extralong-2023-iid-929674549,360000000,2023 - 20.000-25.000 km,Hino Dutro,Cilandak,manual,olx
https://www.olx.co.id/item/toyota-great-corolla-seg-16-mt-1994-tipe-tertinggi-jakarta-selatan-iid-929673111,52000000,1994 - 105.000-110.000 km,Toyota Corolla,Pasar Minggu,manual,olx
https://www.olx.co.id/item/toyota-landcruiser-hardtop-iid-929671440,335000000,<1986 - 130.000-135.000 km,Toyota Hardtop,Cilandak,manual,olx
https://www.olx.co.id/item/grand-max-blinvan-grandmax-granmax-gran-max-daihatsu-box-blin-van-iid-929671057,86000000,2020 - 90.000-95.000 km,Daihatsu Gran max,Kebayoran Lama,manual,olx
https://www.olx.co.id/item/chevrolet-trooper-1988-diesel-iid-929670043,102500000,1988 - >300.000 km,Chevrolet Trooper,Mampang Prapatan,manual,olx
https://www.olx.co.id/item/tdp-8jt-honda-hr-v-2016-s-mt-low-kilometer-iid-929669085,145000000,2016 - 45.000-50.000 km,Honda HR-V,Kebayoran Lama,manual,olx
https://www.olx.co.id/item/pajak-panjang-suzuki-baleno-14-bensin-mt-2019-merah-wzv-iid-929396374,142000000,2019 - 40.000-45.000 km,Suzuki Baleno,Medan Satria,manual,olx
https://www.olx.co.id/item/pajak-panjang-toyota-calya-12-g-bensin-mt-2018-silver-bzu-iid-929396436,98000000,2018 - 45.000-50.000 km,Toyota Calya,Medan Satria,manual,olx
https://www.olx.co.id/item/pajak-panjang-toyota-raize-10-turbo-g-bensin-mt-2023-merah-faz-iid-929396488,188000000,2023 - 25.000-30.000 km,Toyota Raize,Medan Satria,manual,olx
https://www.olx.co.id/item/km-rendah-honda-brio-satya-12-e-bensin-mt-2022-hitam-fkk-iid-929464960,148000000,2024 - 0-5.000 km,Honda Brio Satya,Cengkareng,manual,olx
https://www.olx.co.id/item/dp-rendah-daihatsu-ayla-12-r-bensin-mt-2019-putih-9go-iid-929465173,113000000,2019 - 45.000-50.000 km,Daihatsu Ayla,Cikampek,manual,olx
https://www.olx.co.id/item/rush-15-s-trd-manual-2013-antik-dan-original-body-iid-929685307,140000000,2013 - 35.000-40.000 km,Toyota Rush,Cilandak,manual,olx
https://www.olx.co.id/item/corolla-dx-spek-gt-asli-iid-928351605,165000000,<1986 - 85.000-90.000 km,Toyota Corolla,Kebayoran Baru,manual,olx
https://www.olx.co.id/item/gran-max-blindvan-2018grand-max-blinvan-2018-iid-914637469,79000000,2018 - 80.000-85.000 km,Daihatsu Gran max,Kebayoran Lama,manual,olx
https://www.olx.co.id/item/dp-2-jt-calya-g-2022-manual-siap-pakai-istimewa-tgn-1-pribadi-iid-929399042,105000000,2022 - 15.000-20.000 km,Toyota Calya,Kebayoran Baru,manual,olx
https://www.olx.co.id/item/toyota-avanza-e-upgrade-g-13cc-manual-th2017-iid-929668219,116000000,2017 - 125.000-130.000 km,Toyota Avanza,Kebayoran Baru,manual,olx
https://www.olx.co.id/item/nissan-terrano-1997-bensin-iid-929666079,47000000,1997 - 135.000-140.000 km,Nissan Terrano,Pasar Minggu,manual,olx
https://www.olx.co.id/item/isuzu-panther-2003-diesel-iid-929665090,85000000,2003 - 195.000-200.000 km,Isuzu Panther,Cilandak,manual,olx
https://www.olx.co.id/item/vios-g-mt-bukan-eks-taxi-iid-929661287,69000000,2007 - 140.000-145.000 km,Toyota Vios,Pesanggrahan,manual,olx
https://www.olx.co.id/item/jual-cepat-hyundai-avega-15-manual-tahun-2008-warna-hitam-iid-929659788,51000000,2008 - 175.000-180.000 km,Hyundai Avega,Cilandak,manual,olx
https://www.olx.co.id/item/suzuki-karimun-wagon-r-gl-mt-manual-th-2017-iid-929659638,83500000,2017 - 35.000-40.000 km,Suzuki Karimun Wagon R,Kebayoran Lama,manual,olx
https://www.olx.co.id/item/mini-cooper-clubman-km-8-rb-2022-iid-929659098,825000000,2022 - 5.000-10.000 km,Mini Cooper Mini Cooper,Kebayoran Baru,manual,olx
https://www.olx.co.id/item/vw-combi-bahan-1972-iid-929657397,35000000,<1986 - 35.000-40.000 km,Volkswagen Combi,Cilandak,manual,olx
https://www.olx.co.id/item/ford-ranger-dc-f150-raptor-2013-full-modifikas-full-spek-kerenhabis-iid-929260207,288000000,2013 - 80.000-85.000 km,Ford Ranger Double Cabin,Cilandak,manual,olx
https://www.olx.co.id/item/yaris-trd-sportivo-manual-2016-iid-929652676,147000000,2016 - 65.000-70.000 km,Toyota Yaris,Mampang Prapatan,manual,olx
https://www.olx.co.id/item/bmw-e36-323i-mt-th1997-special-performance-parts-iid-923492195,160000000,1997 - 150.000-155.000 km,BMW 323i,Cilandak,manual,olx
https://www.olx.co.id/item/pajak-panjang-daihatsu-xenia-15-r-deluxe-bensin-mt-2021-hitam-srx-iid-929465080,178000000,2021 - 50.000-55.000 km,Daihatsu Xenia,Kemayoran,manual,olx
https://www.olx.co.id/item/dp-rendah-toyota-rush-15-s-bensin-mt-2019-silver-7gp-iid-929465282,181000000,2019 - 80.000-85.000 km,Toyota Rush,Kemayoran,manual,olx
https://www.olx.co.id/item/dp-rendah-toyota-agya-10-e-bensin-mt-2017-merah-fzi-iid-929492475,96000000,2017 - 50.000-55.000 km,Toyota Agya,Medan Satria,manual,olx
https://www.olx.co.id/item/pajak-panjang-daihatsu-ayla-10-new-x-bensin-mt-2023-vka-iid-929492380,124000000,2023 - 10.000-15.000 km,Daihatsu Ayla,Medan Satria,manual,olx
https://www.olx.co.id/item/pajak-panjang-daihatsu-gran-max-15-d-bensin-mt-2023-silver-roa-iid-929494507,173000000,2023 - 20.000-25.000 km,Daihatsu Gran max,Medan Satria,manual,olx
https://www.olx.co.id/item/mark-x-at-2012-hitam-metalik-iid-929578574,195000000,2012 - 85.000-90.000 km,Toyota Mark X,Jakarta Selatan,manual,olx
https://www.olx.co.id/item/tdp-3-jt-daihatsu-gran-max-blind-van-ac-mt-2018-putih-iid-927940540,78000000,2018 - 110.000-115.000 km,Daihatsu Gran max,Kebayoran Lama,manual,olx
https://www.olx.co.id/item/mercedes-benz-sprinter-a2-2013-alphard-2014-2015-2016-2017-2018-iid-928435757,625000000,2013 - 45.000-50.000 km,Mercedes-Benz Sprinter,Kebayoran Baru,manual,olx
https://www.olx.co.id/item/honda-cr-v-2011-bensin-iid-929504422,125000000,2011 - 120.000-125.000 km,Honda CR-V,Kebayoran Lama,manual,olx
https://www.olx.co.id/item/nissan-grandlivina-15-xv-manual-thn-2008-istimewa-iid-929651904,74500000,2008 - 105.000-110.000 km,Nissan Grand livina,Pasar Minggu,manual,olx
https://www.olx.co.id/item/fortuner-g-trd-sportivo-manual-2014-iid-929651797,270000000,2014 - 110.000-115.000 km,Toyota Fortuner,Mampang Prapatan,manual,olx
https://www.olx.co.id/item/termurah-land-cruiser-vx80-1996-iid-929651048,435000000,1996 - 170.000-175.000 km,Toyota Land Cruiser,Kebayoran Lama,manual,olx
https://www.olx.co.id/item/nissan-grandlivina-15-xv-thn2008-manual-pribadiantik-iid-929650128,74500000,2008 - 100.000-105.000 km,Nissan Grand livina,Pasar Minggu,manual,olx
https://www.olx.co.id/item/dijual-honda-brio-12-e-manual-2023-km1ribuan-tgn-pertama-free-service-iid-929648729,145000000,2023 - 0-5.000 km,Honda Brio,Kebayoran Baru,manual,olx
https://www.olx.co.id/item/mitsubishi-colt-l300-25-diesel-ac-box-alumunium-2019-terawat-iid-929648477,154900000,2019 - 80.000-85.000 km,Mitsubishi Colt L300,Pesanggrahan,manual,olx
https://www.olx.co.id/item/mitsubishi-colt-l300-25-diesel-ac-box-alumunium-2019-terawat-iid-929648425,154900000,2019 - 80.000-85.000 km,Mitsubishi L300,Pesanggrahan,manual,olx
https://www.olx.co.id/item/suzuki-xl7-alpha-manual-2021-khaki-iid-929647459,185000000,2021 - 10.000-15.000 km,Suzuki XL7,Pancoran,manual,olx
https://www.olx.co.id/item/toyota-avanza-13-g-mt-2012-iid-929644598,98000000,2012 - 100.000-105.000 km,Toyota Avanza,Cilandak,manual,olx
https://www.olx.co.id/item/daihatsu-ayla-x-2018-dp-7-jt-full-ors-km-low-tgn-1-iid-929642777,84000000,2018 - 85.000-90.000 km,Daihatsu Ayla,Kebayoran Baru,manual,olx
https://www.olx.co.id/item/cash-daihatsu-xenia-li-mt-2010-iid-929642318,64500000,2010 - 145.000-150.000 km,Daihatsu Xenia,Pesanggrahan,manual,olx
https://www.olx.co.id/item/dp-rendah-toyota-rush-15-trd-sportivo-bensin-mt-2016-silver-0tt-iid-929494382,162000000,2016 - 105.000-110.000 km,Toyota Rush,Medan Satria,manual,olx
