Link_Produk,Harga,Nama_Produk,Lokasi_Produk,tipe_mobil,Platform,Tahun,Kilometer Mobil,Jenis_Mobil
https://www.olx.co.id/item/pajak-panjang-daihatsu-sigra-12-r-bensin-mt-2017-silver-fzf-iid-929293655,102000000.0,Daihatsu Sigra,Medan Satria,manual,olx,2017,45000.0,Daihatsu
https://www.olx.co.id/item/pajak-panjang-daihatsu-xenia-15-r-deluxe-bensin-mt-2021-srx-iid-929293752,186000000.0,Daihatsu Xenia,Medan Satria,manual,olx,2021,5000.0,Daihatsu
https://www.olx.co.id/item/pajak-panjang-wuling-cortez-15-c-bensin-mt-2019-putih-jyb-iid-929328035,178000000.0,Wuling Cortez,Medan Satria,manual,olx,2019,50000.0,Wuling
https://www.olx.co.id/item/pajak-panjang-honda-brio-satya-12-e-bensin-mt-2015-merah-7eq-iid-929366083,96000000.0,Honda Brio Satya,Mampang Prapatan,manual,olx,2015,75000.0,Honda
https://www.olx.co.id/item/mitsubishi-eterna-dohc-1992-low-km-iid-929673070,129000000.0,Mitsubishi Eterna,Pesanggrahan,manual,olx,1992,60000.0,Mitsubishi
https://www.olx.co.id/item/mobil-baru-promo-xl-7-zeta-dp-10-iid-929047054,227200000.0,Suzuki XL7,Pesanggrahan,manual,olx,2024,5000.0,Suzuki
https://www.olx.co.id/item/gran-max-blindvan-2019granmac-blinvan-2019-iid-926770575,85000000.0,Daihatsu Gran max,Kebayoran Lama,manual,olx,2019,90000.0,Daihatsu
https://www.olx.co.id/item/honda-genio-sr4-1992-manual-iid-923284793,53000000.0,Honda Genio,Pesanggrahan,manual,olx,1992,255000.0,Honda
https://www.olx.co.id/item/suzuki-jimny-caribian-4x4-thn-2005-iid-929693222,225000000.0,Suzuki Jimny,Kebayoran Lama,manual,olx,2005,15000.0,Suzuki
https://www.olx.co.id/item/dp-5-juta-honda-brv-e-2023-manual-hitam-aojg-iid-929693148,198000000.0,Honda BR-V,Kebayoran Baru,manual,olx,2023,25000.0,Honda
https://www.olx.co.id/item/nissan-march-12-manual-2018-fulloriginal-sepertibaru-gressss-istimewa-iid-918954272,98000000.0,Nissan March,Cilandak,manual,olx,2018,30000.0,Nissan
https://www.olx.co.id/item/daihatsu-gran-max-15-d-48rbkm-2018-power-sterring-fulloriginal-gresss-iid-915772828,108000000.0,Daihatsu Gran Max MB,Cilandak,manual,olx,2018,40000.0,Daihatsu
