tag,patterns,patterns_prep,slang_prep,prep
goodbye,terimakasih,terimakasih,terima kasih,"['terima', 'kasih']"
goodbye,terimakasih atas informasinya,terimakasih atas informasinya,terima kasih atas informasinya,"['terima', 'kasih', 'atas', 'informasi']"
goodbye,makasih sangat membantu,makasih sangat membantu,terima kasih sangat membantu,"['terima', 'kasih', 'sangat', 'bantu']"
goodbye,terimakasih atas bantuannya,terimakasih atas bantuannya,terima kasih atas bantuannya,"['terima', 'kasih', 'atas', 'bantu']"
goodbye,selamat tinggal,selamat tinggal,selamat tinggal,"['selamat', 'tinggal']"
goodbye,semoga hari anda menyenankan,semoga hari anda menyenankan,semoga hari anda menyenankan,"['moga', 'hari', 'nan']"
goodbye,semoga sukses selalu,semoga sukses selalu,semoga sukses selalu,"['moga', 'sukses', 'selalu']"
goodbye,sampai jumpa,sampai jumpa,sampai jumpa,['jumpa']
goodbye,makasih,makasih,terima kasih,"['terima', 'kasih']"
goodbye,"terimakasih banyak, semoga hari anda menyenankan",terimakasih banyak semoga hari anda menyenankan,terima kasih banyak semoga hari anda menyenankan,"['terima', 'kasih', 'banyak', 'moga', 'hari', 'nan']"
goodbye,sampai jumpa lagi di lain waktu,sampai jumpa lagi di lain waktu,sampai jumpa lagi di lain waktu,"['jumpa', 'di', 'waktu']"
goodbye,terimakasih atas semua informasinya,terimakasih atas semua informasinya,terima kasih atas semua informasinya,"['terima', 'kasih', 'atas', 'semua', 'informasi']"
goodbye,terimakasih sudah membantu saya,terimakasih sudah membantu saya,terima kasih sudah membantu saya,"['terima', 'kasih', 'bantu']"
goodbye,selamat beristirahat,selamat beristirahat,selamat beristirahat,"['selamat', 'istirahat']"
goodbye,semoga hari anda menyenankan,semoga hari anda menyenankan,semoga hari anda menyenankan,"['moga', 'hari', 'nan']"
goodbye,terimakasih atas kerjasamanya,terimakasih atas kerjasamanya,terima kasih atas kerjasamanya,"['terima', 'kasih', 'atas', 'kerjasamanya']"
goodbye,"terima kasih, semoga sukses selalu",terima kasih semoga sukses selalu,terima kasih semoga sukses selalu,"['terima', 'kasih', 'moga', 'sukses', 'selalu']"
goodbye,terimakasih banyak atas bantuannya,terimakasih banyak atas bantuannya,terima kasih banyak atas bantuannya,"['terima', 'kasih', 'banyak', 'atas', 'bantu']"
goodbye,"terimakasih, sampai bertemu lagi",terimakasih sampai bertemu lagi,terima kasih sampai bertemu lagi,"['terima', 'kasih', 'temu']"
goodbye,terima kasih banyak atas segala bantuan,terima kasih banyak atas segala bantuan,terima kasih banyak atas segala bantuan,"['terima', 'kasih', 'banyak', 'atas', 'segala', 'bantu']"
